Mentor ID,Name,Expertise,Alma Mater,Teaching Approach,Rating
M127,Kabir Singh,"Intellectual Property Law, Criminal Law",WBNUJS Kolkata,Interactive,3.77
M128,Vivaan Patel,"Criminal Law, Taxation",NLSIU Bangalore,Research-focused,4.26
M129,Aarav Bansal,"Corporate Law, Constitutional Law",NLU Jodhpur,Lecture-based,4.04
M130,Anaya Verma,"Criminal Law, Constitutional Law",NALSAR Hyderabad,Lecture-based,4.09
M131,Ishaan Bansal,"Constitutional Law, Torts",NLSIU Bangalore,Interactive,4.85
M132,Ishaan Kumar,"Torts, Constitutional Law",NLSIU Bangalore,Lecture-based,4.85
M133,Anaya Sharma,"Taxation, Contract Law",NLSIU Bangalore,Discussion-based,4.59
M134,Riya Singh,"Corporate Law, Intellectual Property Law",WBNUJS Kolkata,Interactive,4.16
M135,Siya Verma,"Taxation, Criminal Law",NLU Delhi,Interactive,4.96
M136,Aditya Sharma,"Taxation, Torts",NLSIU Bangalore,Interactive,4.86
M137,Myra Singh,"Taxation, Criminal Law",NLU Jodhpur,Lecture-based,4.66
M138,Siya Bansal,"Torts, Corporate Law",NLU Jodhpur,Lecture-based,4.23
M139,Riya Mehta,"Taxation, Intellectual Property Law",NLU Jodhpur,Research-focused,4.97
M140,Kabir Kumar,"Taxation, Torts",NLSIU Bangalore,Research-focused,3.73
M141,Aadhya Bansal,"Corporate Law, Constitutional Law",NLU Delhi,Research-focused,4.35
M142,Ishaan Joshi,"Intellectual Property Law, Constitutional Law",NALSAR Hyderabad,Discussion-based,3.65
M143,Riya Chopra,"Criminal Law, Corporate Law",NLU Jodhpur,Discussion-based,4.64
M144,Vivaan Joshi,"Torts, Constitutional Law",NLSIU Bangalore,Interactive,3.69
M145,Vivaan Joshi,"Constitutional Law, Taxation",NALSAR Hyderabad,Research-focused,3.75
M146,Anaya Patel,"Contract Law, Torts",NLU Delhi,Lecture-based,4.83
M147,Aditya Mehta,"Torts, Intellectual Property Law",NLU Jodhpur,Discussion-based,4.53
M148,Aadhya Singh,"Contract Law, Intellectual Property Law",NLSIU Bangalore,Discussion-based,4.02
M149,Aditya Sharma,"Corporate Law, Constitutional Law",NLSIU Bangalore,Lecture-based,4.61
M150,Aarav Singh,"Constitutional Law, Intellectual Property Law",NLU Jodhpur,Case-based,3.6
M151,Kabir Verma,"Taxation, Criminal Law",NLU Jodhpur,Case-based,4.52
M152,Ishaan Patel,"Corporate Law, Contract Law",NALSAR Hyderabad,Research-focused,4.59
M153,Anaya Kapoor,"Intellectual Property Law, Contract Law",NLU Delhi,Interactive,4.16
M154,Riya Sharma,"Corporate Law, Torts",NLSIU Bangalore,Case-based,4.25
M155,Myra Singh,"Corporate Law, Torts",NLSIU Bangalore,Research-focused,4.12
M156,Myra Kumar,"Contract Law, Intellectual Property Law",NLU Delhi,Case-based,4.22
M157,Siya Kumar,"Corporate Law, Torts",NLU Delhi,Interactive,4.38
M158,Aditya Kumar,"Torts, Corporate Law",NLU Jodhpur,Research-focused,4.54
M159,Vivaan Joshi,"Contract Law, Criminal Law",WBNUJS Kolkata,Research-focused,3.98
M160,Siya Kumar,"Torts, Taxation",NLU Jodhpur,Research-focused,3.64
M161,Riya Kumar,"Corporate Law, Constitutional Law",NLU Delhi,Interactive,4.05
M162,Vivaan Bansal,"Intellectual Property Law, Torts",NALSAR Hyderabad,Discussion-based,4.3
M163,Aarav Sharma,"Corporate Law, Criminal Law",NLSIU Bangalore,Interactive,3.96
M164,Ishaan Kapoor,"Constitutional Law, Intellectual Property Law",NLSIU Bangalore,Lecture-based,4.56
M165,Aadhya Patel,"Taxation, Criminal Law",NLU Jodhpur,Discussion-based,4.23
M166,Riya Sharma,"Contract Law, Taxation",NALSAR Hyderabad,Interactive,4.54
M167,Aditya Singh,"Contract Law, Taxation",NLSIU Bangalore,Case-based,4.06
M168,Siya Chopra,"Constitutional Law, Intellectual Property Law",NLSIU Bangalore,Lecture-based,4.32
M169,Myra Chopra,"Torts, Constitutional Law",NLSIU Bangalore,Case-based,4.99
M170,Ishaan Mehta,"Criminal Law, Intellectual Property Law",NALSAR Hyderabad,Lecture-based,4.83
M171,Myra Chopra,"Torts, Taxation",NLSIU Bangalore,Lecture-based,4.17
M172,Siya Verma,"Contract Law, Intellectual Property Law",WBNUJS Kolkata,Case-based,3.53
M173,Aarav Patel,"Corporate Law, Taxation",NLSIU Bangalore,Discussion-based,4.46
M174,Siya Kumar,"Intellectual Property Law, Constitutional Law",WBNUJS Kolkata,Research-focused,4.34
M175,Anaya Bansal,"Contract Law, Intellectual Property Law",NLU Delhi,Case-based,4.38
M176,Anaya Verma,"Torts, Intellectual Property Law",NLU Delhi,Case-based,4.32
M177,Siya Chopra,"Corporate Law, Contract Law",NALSAR Hyderabad,Lecture-based,4.73
M178,Aadhya Patel,"Contract Law, Intellectual Property Law",NLU Delhi,Interactive,4.59
M179,Riya Chopra,"Contract Law, Corporate Law",WBNUJS Kolkata,Research-focused,4.73
M180,Kabir Verma,"Corporate Law, Constitutional Law",NALSAR Hyderabad,Discussion-based,4.57
M181,Aditya Patel,"Torts, Criminal Law",NLSIU Bangalore,Case-based,3.77
M182,Aarav Mehta,"Constitutional Law, Torts",NLU Jodhpur,Interactive,4.95
M183,Ishaan Kapoor,"Taxation, Constitutional Law",NLU Delhi,Case-based,4.96
M184,Ishaan Kapoor,"Criminal Law, Torts",WBNUJS Kolkata,Lecture-based,4.22
M185,Vivaan Kapoor,"Torts, Contract Law",NLSIU Bangalore,Research-focused,4.81
M186,Myra Bansal,"Torts, Intellectual Property Law",NLSIU Bangalore,Research-focused,4.89
M187,Vivaan Joshi,"Intellectual Property Law, Contract Law",NLU Jodhpur,Lecture-based,4.86
M188,Anaya Joshi,"Constitutional Law, Torts",NLSIU Bangalore,Discussion-based,3.7
M189,Ishaan Chopra,"Torts, Intellectual Property Law",WBNUJS Kolkata,Lecture-based,3.93
M190,Myra Patel,"Torts, Constitutional Law",NLU Jodhpur,Interactive,3.61
M191,Ishaan Sharma,"Constitutional Law, Intellectual Property Law",NLU Jodhpur,Interactive,4.8
M192,Anaya Singh,"Constitutional Law, Corporate Law",NLU Delhi,Interactive,3.81
M193,Vivaan Mehta,"Taxation, Intellectual Property Law",NLU Delhi,Interactive,4.77
M194,Anaya Verma,"Criminal Law, Taxation",WBNUJS Kolkata,Lecture-based,4.21
M195,Aarav Singh,"Torts, Constitutional Law",NALSAR Hyderabad,Interactive,4.27
M196,Siya Chopra,"Taxation, Corporate Law",NALSAR Hyderabad,Lecture-based,4.66
M197,Kabir Singh,"Intellectual Property Law, Contract Law",NLU Delhi,Lecture-based,4.57
M198,Siya Chopra,"Corporate Law, Torts",NLSIU Bangalore,Discussion-based,3.83
M199,Kabir Joshi,"Constitutional Law, Criminal Law",NLU Delhi,Lecture-based,3.79
M200,Siya Singh,"Criminal Law, Torts",WBNUJS Kolkata,Research-focused,3.99
M201,Riya Verma,"Corporate Law, Contract Law",WBNUJS Kolkata,Case-based,4.79
M202,Vivaan Kumar,"Intellectual Property Law, Constitutional Law",NLU Jodhpur,Case-based,4.33
M203,Anaya Joshi,"Constitutional Law, Contract Law",NALSAR Hyderabad,Lecture-based,4.63
M204,Siya Kapoor,"Contract Law, Criminal Law",NLSIU Bangalore,Research-focused,3.52
M205,Aarav Mehta,"Taxation, Torts",NALSAR Hyderabad,Discussion-based,4.71
M206,Riya Bansal,"Contract Law, Constitutional Law",NLU Jodhpur,Discussion-based,4.13
M207,Aditya Bansal,"Contract Law, Criminal Law",NLSIU Bangalore,Discussion-based,3.65
M208,Aadhya Patel,"Torts, Criminal Law",NLU Jodhpur,Lecture-based,3.84
M209,Riya Chopra,"Torts, Corporate Law",NLU Jodhpur,Case-based,4.8
M210,Ishaan Sharma,"Taxation, Intellectual Property Law",NALSAR Hyderabad,Research-focused,4.17
M211,Riya Singh,"Taxation, Constitutional Law",NLSIU Bangalore,Research-focused,4.18
M212,Aditya Kapoor,"Torts, Constitutional Law",NLU Jodhpur,Research-focused,3.88
M213,Riya Kumar,"Taxation, Criminal Law",NLU Delhi,Interactive,3.78
M214,Vivaan Bansal,"Contract Law, Corporate Law",WBNUJS Kolkata,Lecture-based,3.66
M215,Aarav Mehta,"Contract Law, Constitutional Law",WBNUJS Kolkata,Lecture-based,4.67
M216,Ishaan Sharma,"Corporate Law, Contract Law",WBNUJS Kolkata,Interactive,4.27
M217,Vivaan Singh,"Corporate Law, Torts",NLU Delhi,Case-based,3.83
M218,Siya Kapoor,"Intellectual Property Law, Torts",NLU Jodhpur,Discussion-based,4.06
M219,Aadhya Patel,"Contract Law, Criminal Law",NLU Delhi,Research-focused,4.99
M220,Aadhya Bansal,"Torts, Contract Law",NLU Jodhpur,Discussion-based,4.12
M221,Vivaan Bansal,"Constitutional Law, Intellectual Property Law",NLSIU Bangalore,Lecture-based,4.27
M222,Anaya Singh,"Criminal Law, Constitutional Law",NALSAR Hyderabad,Research-focused,3.6
M223,Riya Sharma,"Taxation, Criminal Law",NLSIU Bangalore,Interactive,3.74
M224,Siya Verma,"Corporate Law, Constitutional Law",WBNUJS Kolkata,Research-focused,4.46
M225,Kabir Verma,"Intellectual Property Law, Taxation",NLSIU Bangalore,Lecture-based,3.82
M226,Aarav Singh,"Taxation, Intellectual Property Law",NLU Delhi,Discussion-based,3.95
M227,Anaya Kapoor,"Contract Law, Corporate Law",NLU Delhi,Research-focused,4.74
M228,Riya Patel,"Torts, Intellectual Property Law",NLU Delhi,Research-focused,3.9
M229,Aarav Patel,"Corporate Law, Torts",NLU Delhi,Lecture-based,4.95
M230,Ishaan Kapoor,"Intellectual Property Law, Constitutional Law",NLU Jodhpur,Interactive,4.52
M231,Aditya Mehta,"Contract Law, Intellectual Property Law",NLU Jodhpur,Discussion-based,4.87
M232,Kabir Sharma,"Torts, Contract Law",NLU Delhi,Research-focused,4.85
M233,Siya Sharma,"Torts, Corporate Law",NLU Delhi,Discussion-based,4.19
M234,Ishaan Kumar,"Corporate Law, Intellectual Property Law",NLU Jodhpur,Discussion-based,4.07
M235,Kabir Bansal,"Taxation, Intellectual Property Law",NLSIU Bangalore,Case-based,4.95
M236,Anaya Kumar,"Criminal Law, Intellectual Property Law",WBNUJS Kolkata,Research-focused,4.56
M237,Aadhya Sharma,"Torts, Intellectual Property Law",NLSIU Bangalore,Discussion-based,4.52
M238,Aadhya Sharma,"Corporate Law, Torts",WBNUJS Kolkata,Case-based,3.92
M239,Kabir Sharma,"Corporate Law, Criminal Law",WBNUJS Kolkata,Discussion-based,4.25
M240,Anaya Kumar,"Contract Law, Torts",NLSIU Bangalore,Lecture-based,3.53
M241,Aarav Verma,"Criminal Law, Corporate Law",NLSIU Bangalore,Lecture-based,3.71
M242,Myra Mehta,"Contract Law, Torts",NLSIU Bangalore,Lecture-based,4.86
M243,Aarav Kapoor,"Corporate Law, Torts",NALSAR Hyderabad,Discussion-based,4.05
M244,Aadhya Patel,"Corporate Law, Contract Law",NALSAR Hyderabad,Discussion-based,4.85
M245,Kabir Kapoor,"Contract Law, Torts",NALSAR Hyderabad,Lecture-based,3.89
M246,Aditya Verma,"Intellectual Property Law, Corporate Law",NLU Delhi,Discussion-based,4.52
M247,Myra Patel,"Criminal Law, Torts",WBNUJS Kolkata,Interactive,3.67
M248,Aarav Chopra,"Constitutional Law, Intellectual Property Law",NALSAR Hyderabad,Interactive,4.65
M249,Kabir Mehta,"Contract Law, Constitutional Law",NLU Jodhpur,Case-based,4.53
M250,Kabir Chopra,"Constitutional Law, Torts",NLU Delhi,Case-based,4.82
M251,Aditya Kapoor,"Taxation, Criminal Law",NLU Jodhpur,Case-based,4.3
M252,Kabir Mehta,"Constitutional Law, Contract Law",WBNUJS Kolkata,Interactive,4.22
M253,Aditya Joshi,"Corporate Law, Torts",NLU Jodhpur,Interactive,4.27
M254,Aditya Verma,"Criminal Law, Corporate Law",NLU Jodhpur,Interactive,4.49
M255,Myra Kapoor,"Contract Law, Torts",NALSAR Hyderabad,Interactive,3.94
M256,Siya Verma,"Torts, Intellectual Property Law",NLU Jodhpur,Interactive,4.29
M257,Vivaan Kapoor,"Corporate Law, Contract Law",NLU Jodhpur,Discussion-based,4.98
M258,Siya Sharma,"Contract Law, Corporate Law",NLU Delhi,Discussion-based,4.51
M259,Aarav Patel,"Taxation, Constitutional Law",WBNUJS Kolkata,Lecture-based,4.42
M260,Anaya Singh,"Torts, Corporate Law",NALSAR Hyderabad,Interactive,4.88
M261,Myra Joshi,"Criminal Law, Corporate Law",NLU Delhi,Discussion-based,4.39
M262,Kabir Kumar,"Corporate Law, Constitutional Law",NALSAR Hyderabad,Lecture-based,4.25
M263,Riya Sharma,"Criminal Law, Torts",NLSIU Bangalore,Lecture-based,4.79
M264,Ishaan Verma,"Constitutional Law, Contract Law",NLU Jodhpur,Research-focused,3.95
M265,Aditya Chopra,"Intellectual Property Law, Criminal Law",NLSIU Bangalore,Case-based,4.79
M266,Vivaan Singh,"Contract Law, Corporate Law",WBNUJS Kolkata,Lecture-based,4.58
M267,Riya Kumar,"Torts, Contract Law",NLU Delhi,Research-focused,4.7
M268,Ishaan Patel,"Constitutional Law, Intellectual Property Law",WBNUJS Kolkata,Lecture-based,4.98
M269,Ishaan Singh,"Constitutional Law, Intellectual Property Law",NLU Jodhpur,Research-focused,3.66
M270,Myra Mehta,"Criminal Law, Intellectual Property Law",NLU Jodhpur,Lecture-based,3.75
M271,Ishaan Sharma,"Taxation, Intellectual Property Law",NLU Jodhpur,Interactive,4.36
M272,Vivaan Sharma,"Contract Law, Taxation",WBNUJS Kolkata,Case-based,4.74
M273,Vivaan Joshi,"Contract Law, Torts",NLU Jodhpur,Interactive,3.72
M274,Kabir Singh,"Constitutional Law, Corporate Law",WBNUJS Kolkata,Discussion-based,4.29
M275,Siya Mehta,"Contract Law, Corporate Law",NLU Jodhpur,Research-focused,4.91
M276,Aditya Chopra,"Contract Law, Criminal Law",NLU Jodhpur,Interactive,4.44
M277,Aadhya Kapoor,"Taxation, Contract Law",NLU Delhi,Research-focused,4.47
M278,Siya Bansal,"Contract Law, Torts",NALSAR Hyderabad,Interactive,4.9
M279,Aadhya Kumar,"Taxation, Torts",NLU Delhi,Lecture-based,4.3
M280,Ishaan Verma,"Corporate Law, Constitutional Law",WBNUJS Kolkata,Discussion-based,4.28
M281,Aadhya Kapoor,"Corporate Law, Contract Law",WBNUJS Kolkata,Research-focused,3.88
M282,Riya Singh,"Constitutional Law, Criminal Law",NLU Delhi,Case-based,4.53
M283,Siya Joshi,"Constitutional Law, Criminal Law",WBNUJS Kolkata,Interactive,4.81
M284,Riya Sharma,"Corporate Law, Intellectual Property Law",WBNUJS Kolkata,Case-based,4.36
M285,Aadhya Mehta,"Taxation, Torts",NLSIU Bangalore,Case-based,4.59
M286,Siya Sharma,"Taxation, Torts",WBNUJS Kolkata,Case-based,4.73
M287,Vivaan Chopra,"Taxation, Contract Law",NALSAR Hyderabad,Research-focused,4.84
M288,Aarav Joshi,"Taxation, Criminal Law",NLU Jodhpur,Research-focused,4.0
M289,Aditya Patel,"Contract Law, Criminal Law",NLU Delhi,Interactive,3.56
M290,Aadhya Mehta,"Criminal Law, Corporate Law",NLU Delhi,Discussion-based,3.83
M291,Riya Bansal,"Taxation, Corporate Law",NLU Delhi,Lecture-based,4.49
M292,Kabir Sharma,"Contract Law, Corporate Law",NLSIU Bangalore,Lecture-based,3.6
M293,Ishaan Joshi,"Criminal Law, Corporate Law",NLSIU Bangalore,Research-focused,4.53
M294,Riya Kapoor,"Taxation, Constitutional Law",NLSIU Bangalore,Case-based,4.85
M295,Myra Bansal,"Constitutional Law, Contract Law",WBNUJS Kolkata,Lecture-based,4.68
M296,Riya Sharma,"Taxation, Intellectual Property Law",NLSIU Bangalore,Case-based,4.93
M297,Myra Verma,"Criminal Law, Taxation",NLSIU Bangalore,Research-focused,4.29
M298,Riya Patel,"Constitutional Law, Taxation",NLU Jodhpur,Research-focused,3.62
M299,Kabir Chopra,"Intellectual Property Law, Contract Law",NLU Delhi,Lecture-based,4.49
M300,Aarav Verma,"Contract Law, Corporate Law",NALSAR Hyderabad,Lecture-based,4.53
